source_center,destination_center,median_delay,trip_count,median_actual_time,median_osrm_time,median_distance
IND131028AAB,IND249407AAA,2.15978835978836,6,232.0,94.5,77.47556590271981
IND131028AAB,IND250002AAA,1.6071428571428572,3,112.0,59.0,45.18325371556312
IND131028AAB,IND250609AAA,2.9545454545454546,1,65.0,22.0,15.0331255254957
IND131028AAB,IND250611AAA,3.0064102564102564,6,106.5,29.5,25.190898951755777
IND131028AAB,IND251001AAA,1.6956521739130437,41,114.0,69.0,66.02405850929094
IND131028AAE,IND124507AAA,1.793103448275862,2,62.0,37.0,25.480456704129413
IND131301AAA,IND131028AAB,3.219298245614035,6,92.0,35.0,44.44884893544605
IND132001AAA,IND131028AAB,1.7861111111111112,6,111.5,62.5,79.33245515522202
IND132001AAA,IND132103AAA,3.2964285714285717,2,78.0,27.0,30.002140563824767
IND132001AAA,IND132103AAB,3.0526315789473686,5,104.0,27.0,28.02848790091951
IND132103AAA,IND131028AAB,1.75,9,61.0,35.0,46.34757934874101
IND132103AAA,IND132001AAA,1.6266233766233769,10,49.5,30.5,31.539490933606384
IND132103AAB,IND131028AAB,1.8697478991596634,18,63.5,34.0,45.49433144819919
IND132103AAB,IND132001AAA,1.5142857142857142,4,39.0,25.5,29.13344328783834
IND133004AAA,IND135001AAA,1.466403162055336,18,75.5,43.0,44.77776264127543
IND134102AAA,IND174103AAA,2.75,16,38.5,14.0,17.022234543225895
IND134109AAA,IND160002AAC,1.5272727272727273,60,35.0,26.0,23.106605475656686
IND134203AAA,IND140501AAA,1.75,56,52.5,31.5,23.318981786743215
IND134203AAA,IND160002AAC,2.0,5,101.0,27.0,27.16444597937868
IND135001AAA,IND173025AAA,2.1923076923076925,29,100.0,44.0,44.20050729677886
IND136027AAA,IND132039AAA,1.8571428571428568,41,55.0,34.0,33.98366781247006
IND136118AAA,IND136128AAA,1.380952380952381,44,35.0,25.0,24.485673785708222
IND136128AAA,IND136027AAA,2.0588235294117645,43,38.0,18.0,23.230736875084123
IND140001AAA,IND140118AAA,1.707142857142857,38,46.0,28.0,26.888571634504935
IND140118AAA,IND160002AAC,1.5416666666666667,85,114.0,76.0,66.19707812457436
IND140301AAA,IND140001AAA,1.7272727272727273,39,40.0,23.0,23.452305620815142
IND140301AAA,IND140901AAA,1.9230769230769231,29,27.0,14.0,9.23652194387684
IND140401AAA,IND000000ACA,1.6171171171171173,12,93.0,39.0,55.76767617391846
IND140401AAA,IND142401AAA,1.5479166666666666,6,38.5,23.5,33.74474198329014
IND140401AAA,IND147301AAA,1.595238095238095,2,27.0,19.0,27.369056056248436
IND140406AAA,IND140401AAA,1.2916666666666665,14,28.5,24.5,23.727364315412224
IND140501AAA,IND160002AAC,1.0,28,32.5,16.0,10.012038193064145
IND140901AAA,IND160002AAC,1.4272727272727272,84,39.5,35.0,27.78625888661614
IND140901AAA,IND160055AAA,1.9090909090909087,39,23.0,13.0,10.756069670184273
IND141003AAB,IND000000ACA,1.818181818181818,7,20.0,11.0,9.038265564875545
IND141003AAB,IND141109AAA,0.8720588235294118,2,37.0,40.5,27.691949159932303
IND141003AAB,IND142026AAA,1.626984126984127,42,39.0,27.5,30.060077816987786
IND141010AAA,IND000000ACA,1.818181818181818,1,20.0,11.0,9.118688386981988
IND141109AAA,IND000000ACA,0.9703703703703702,36,62.5,51.0,30.935613521197673
IND141115AAA,IND000000ACA,1.4543650793650793,18,43.0,30.0,23.77784011435749
IND142001AAB,IND151001AAA,1.5416666666666667,4,116.5,55.5,55.744066301230376
