source_center,destination_center,route_type,time_of_day,median_delay,trip_count
IND122001AAA,IND000000ACB,Carting,Evening,1.3541666666666665,26
IND122001AAA,IND110037AAM,Carting,Evening,3.866666666666666,1
IND122001AAA,IND122001AAD,Carting,Night,3.1538461538461537,1
IND122001AAA,IND122001AAD,Carting,Morning,2.5384615384615383,3
IND122001AAA,IND122050AAA,Carting,Morning,4.65,2
IND122001AAA,IND122101AAC,Carting,Morning,1.6153846153846154,2
IND122001AAD,IND122050AAA,Carting,Night,1.6094771241830066,4
IND122001AAD,IND122050AAA,Carting,Morning,2.0,9
IND122001AAJ,IND507123AAA,FTL,Night,0.8479020979020979,26
IND122002AAD,IND122503AAA,Carting,Morning,2.2,7
IND122004AAA,IND000000ACB,Carting,Evening,1.5454545454545454,3
IND122004AAA,IND122413AAE,Carting,Night,1.3611111111111112,4
IND122004AAA,IND122413AAE,Carting,Afternoon,1.5590277777777777,100
IND122004AAA,IND122413AAE,Carting,Evening,1.5555555555555556,59
IND122503AAA,IND122001AAA,Carting,Morning,1.9444444444444446,8
IND123001AAA,IND123401AAB,FTL,Night,1.75,26
IND123401AAB,IND000000ACB,FTL,Night,1.9230769230769231,9
IND123401AAB,IND123106AAB,FTL,Night,1.8478260869565217,30
IND124001AAB,IND126102AAA,FTL,Night,2.0,12
IND124103AAA,IND127021AAA,FTL,Evening,1.5172413793103448,27
IND124112AAA,IND125001AAA,FTL,Morning,3.5,3
IND124112AAA,IND125001AAA,FTL,Afternoon,2.2857142857142856,3
IND124112AAA,IND125005AAA,FTL,Morning,2.0,3
IND124112AAA,IND125005AAA,FTL,Afternoon,1.7333333333333334,3
IND124112AAA,IND125033AAA,FTL,Morning,1.7973684210526315,2
IND124112AAA,IND125033AAA,FTL,Afternoon,1.7823529411764705,6
IND124141AAA,IND000000ACB,FTL,Night,1.6954022988505748,38
IND124507AAA,IND131028AAB,FTL,Night,2.025,18
IND124507AAA,IND131028AAE,FTL,Night,2.324675324675325,6
IND125001AAA,IND000000ACB,FTL,Afternoon,1.5238095238095235,21
IND125001AAA,IND000000ACB,FTL,Evening,1.5833333333333333,49
IND125001AAA,IND110037AAM,FTL,Morning,1.5806451612903225,7
IND125001AAA,IND110037AAM,FTL,Afternoon,1.7621212121212122,70
IND125001AAA,IND125047AAB,FTL,Evening,1.9423076923076925,14
IND125001AAA,IND125051AAA,FTL,Evening,2.6333333333333333,3
IND125001AAA,IND335501AAA,FTL,Afternoon,2.1363636363636362,4
IND125001AAA,IND335513AAA,FTL,Afternoon,1.7045454545454546,44
IND125001AAA,IND335513AAA,FTL,Evening,1.75,7
IND125001AAA,IND335523AAB,FTL,Afternoon,1.7777777777777777,15
IND125001AAA,IND335523AAB,FTL,Evening,1.75,5
IND125001AAA,IND335524AAA,FTL,Afternoon,1.628787878787879,6
IND125001AAA,IND335524AAA,FTL,Evening,1.584967320261438,24
IND125005AAA,IND000000ACB,FTL,Evening,1.5238095238095235,35
IND125005AAA,IND125047AAB,FTL,Evening,2.02,6
IND125005AAA,IND335513AAA,FTL,Afternoon,1.6,21
IND125005AAA,IND335523AAB,FTL,Evening,2.0,5
IND125005AAA,IND335524AAA,FTL,Evening,1.5855978260869565,12
IND125033AAA,IND125001AAA,FTL,Afternoon,2.0,3
IND125033AAA,IND125005AAA,FTL,Afternoon,2.0620915032679736,2
IND125047AAB,IND125050AAA,FTL,Night,2.7222222222222223,2
IND125047AAB,IND125051AAA,FTL,Night,1.7333333333333334,12
IND125047AAB,IND125051AAA,FTL,Evening,1.775579150579151,16
IND125050AAA,IND125051AAA,FTL,Night,1.6363636363636365,3
IND125051AAA,IND125111AAA,FTL,Night,1.0489583333333334,4
IND125104AAA,IND125005AAA,FTL,Night,2.111111111111111,7
IND125111AAA,IND125121AAA,FTL,Night,2.1527777777777777,4
IND125121AAA,IND125001AAA,FTL,Night,2.0238095238095237,4
IND125121AAA,IND125001AAA,FTL,Morning,3.198757763975155,2
IND126102AAA,IND131301AAA,FTL,Night,2.0915032679738563,4
IND126112AAA,IND131028AAB,FTL,Night,1.878676470588235,20
IND126112AAA,IND131028AAB,FTL,Morning,2.033333333333333,44
IND127021AAA,IND127201AAA,FTL,Night,2.0625,9
IND127021AAA,IND127201AAA,FTL,Evening,1.8666666666666667,15
IND127201AAA,IND124141AAA,FTL,Night,1.8928571428571428,7
IND131021AAA,IND131028AAA,Carting,Morning,1.5982142857142856,32
IND131021AAA,IND131028AAA,Carting,Afternoon,1.5,31
IND131021AAA,IND131028AAA,Carting,Evening,1.5833333333333333,33
IND131028AAB,IND000000ACB,Carting,Night,1.0,154
IND131028AAB,IND000000ACB,Carting,Morning,0.9230769230769232,249
IND131028AAB,IND000000ACB,Carting,Afternoon,0.9166666666666666,247
IND131028AAB,IND000000ACB,Carting,Evening,0.8461538461538461,107
IND131028AAB,IND110037AAM,Carting,Night,2.2222222222222223,28
IND131028AAB,IND124001AAB,FTL,Evening,1.673160173160173,12
IND131028AAB,IND124507AAA,FTL,Evening,1.8819444444444444,20
IND131028AAB,IND132103AAA,FTL,Afternoon,2.032258064516129,3
IND131028AAB,IND132103AAA,FTL,Evening,2.0,3
IND131028AAB,IND136118AAA,FTL,Afternoon,1.7777777777777777,48
IND131028AAB,IND136118AAA,FTL,Evening,1.875,54
IND131028AAB,IND160002AAC,FTL,Night,1.58359133126935,112
IND131028AAB,IND160002AAC,FTL,Morning,1.5625,112
IND131028AAB,IND160002AAC,FTL,Afternoon,1.6654411764705883,16
IND131028AAB,IND201204AAA,FTL,Evening,1.7142857142857142,27
IND131028AAB,IND244001AAA,FTL,Night,1.5789473684210529,152
IND131028AAB,IND244235AAA,FTL,Night,1.3907563025210083,12
IND131028AAB,IND244235AAA,FTL,Morning,1.375,114
