hub,betweenness,in_degree,out_degree,avg_delay,betweenness_norm,in_degree_norm,out_degree_norm,avg_delay_norm,bottleneck_score,clustering_coeff
IND231225AAB,2.9762347653982946e-06,1,1,1.6296296296296295,1.2976564324829358e-05,0.0222222222222222,0.0212765957446808,0.0465608465608465,0.0180171235312798,0.0
IND302022AAD,0.0,1,1,1.625,0.0,0.0222222222222222,0.0212765957446808,0.0464285714285714,0.0179854778790949,0.0
IND210501AAB,0.0,0,1,2.4,0.0,0.0,0.0212765957446808,0.0685714285714285,0.0179696048632218,0.0
IND425401AAA,5.580440185121802e-06,1,1,1.616161616161616,2.4331058109055045e-05,0.0222222222222222,0.0212765957446808,0.0461760461760461,0.0179447052518334,0.0
IND334001AAB,0.0,1,1,1.6176470588235294,0.0,0.0222222222222222,0.0212765957446808,0.0462184873949579,0.0179434610723722,0.0
IND148028AAA,0.0,0,2,1.649122807017544,0.0,0.0,0.0425531914893617,0.0471177944862155,0.0179341971951154,0.0
IND465333AAA,0.0,1,1,1.613721804511278,0.0,0.0222222222222222,0.0212765957446808,0.0461063372717508,0.0179210310477307,1.0
IND361315AAA,0.0,1,1,1.6066176470588234,0.0,0.0222222222222222,0.0212765957446808,0.0459033613445378,0.0178804358622881,1.0
IND736146AAA,1.1160880370243606e-06,1,1,1.6048632218844985,4.866211621811009e-06,0.0222222222222222,0.0212765957446808,0.0458532349109856,0.0178723570602264,0.0
IND384170AAA,0.0012299290168008,1,1,1.2272727272727273,0.0053625652072357,0.0222222222222222,0.0212765957446808,0.035064935064935,0.0178577766892619,0.0
IND110052AAA,0.0,1,1,1.6,0.0,0.0222222222222222,0.0212765957446808,0.0457142857142857,0.0178426207362377,0.0
IND680104AAA,0.0004110924269706,1,1,1.4705882352941178,0.001792387947367,0.0222222222222222,0.0212765957446808,0.042016806722689,0.0178200801168652,0.0
IND362560AAA,1.674132055536541e-05,1,1,1.588235294117647,7.299317432716514e-05,0.0222222222222222,0.0212765957446808,0.0453781512605042,0.0178045911152123,0.0
IND121002AAB,0.0,1,1,1.5916666666666668,0.0,0.0222222222222222,0.0212765957446808,0.0454761904761904,0.0177950016886187,0.0
IND691506AAA,1.4509144481316686e-05,1,1,1.585714285714286,6.326075108354311e-05,0.0222222222222222,0.0212765957446808,0.0453061224489795,0.0177862923836099,0.0
IND000000ACS,0.0,4,0,0.0,0.0,0.0888888888888888,0.0,0.0,0.0177777777777777,0.5
IND506343AAA,0.0012332772809119,1,1,1.2111111111111112,0.0053771638421011,0.0222222222222222,0.0212765957446808,0.0346031746031746,0.017771264050856,0.0
IND524132AAA,3.3482641110730813e-06,1,1,1.5833333333333333,1.4598634865433028e-05,0.0222222222222222,0.0212765957446808,0.0452380952380952,0.0177532220949458,0.0
IND571105AAA,0.0,0,2,1.6168478260869563,0.0,0.0,0.0425531914893617,0.046195652173913,0.0177497687326549,1.0
IND723131AAA,0.0008203247072129,1,1,1.3331653225806452,0.003576665542031,0.0222222222222222,0.0212765957446808,0.0380904377880184,0.0177485173677967,1.0
IND814101AAB,0.0008162323844104,1,1,1.3333333333333333,0.0035588227660844,0.0222222222222222,0.0212765957446808,0.038095238095238,0.017742340318862,0.0
IND480334AAA,0.0004122085150076,1,1,1.455026455026455,0.0017972541589888,0.0222222222222222,0.0212765957446808,0.0415721844293272,0.0177331021428416,0.0
IND575014AAA,4.687569755502314e-05,1,1,1.565217391304348,0.000204380888116,0.0222222222222222,0.0212765957446808,0.0447204968944099,0.017725615327509,1.0
IND415124AAA,0.0016350689742406,1,1,1.0732388076364854,0.0071290000259531,0.0222222222222222,0.0212765957446808,0.030663965932471,0.017684156790256,0.0
IND410401AAA,0.0,1,1,1.5714285714285714,0.0,0.0222222222222222,0.0212765957446808,0.0448979591836734,0.0176793554301153,0.0
IND152024AAA,0.0004103483682792,1,1,1.4444444444444444,0.0017891438062858,0.0222222222222222,0.0212765957446808,0.0412698412698412,0.0176693893698632,1.0
IND627811AAA,2.232176074048721e-06,1,1,1.5683229813664596,9.73242324362202e-06,0.0222222222222222,0.0212765957446808,0.0448092280390417,0.0176655021704864,1.0
IND505467AAA,0.0,1,1,1.5657407407407409,0.0,0.0222222222222222,0.0212765957446808,0.0447354497354497,0.0176468535404705,1.0
IND494334AAB,7.440586913495736e-07,1,1,1.565340909090909,3.2441410812073395e-06,0.0222222222222222,0.0212765957446808,0.0447240259740259,0.0176458664446182,0.0
IND206122AAA,0.0004103483682792,1,1,1.4375,0.0017891438062858,0.0222222222222222,0.0212765957446808,0.0410714285714285,0.0176297068301806,0.0
IND457226AAA,0.0,1,1,1.5625,0.0,0.0222222222222222,0.0212765957446808,0.0446428571428571,0.017628335021952,1.0
IND816107AAA,0.000812140061608,1,1,1.3141447368421053,0.0035409799901378,0.0222222222222222,0.0212765957446808,0.037546992481203,0.0176255540856763,0.0
IND362150AAA,1.674132055536541e-05,1,1,1.5555555555555556,7.299317432716514e-05,0.0222222222222222,0.0212765957446808,0.0444444444444444,0.0176178497520003,0.0
IND624601AAA,2.0833643357788063e-05,1,2,0.8061017929438983,9.08359502738055e-05,0.0222222222222222,0.0425531914893617,0.023031479798397,0.0175977130821057,0.3333333333333333
IND506001AAC,0.0,0,2,1.5892857142857144,0.0,0.0,0.0425531914893617,0.0454081632653061,0.0175922709509335,1.0
IND303008AAB,0.0,1,1,1.5555555555555556,0.0,0.0222222222222222,0.0212765957446808,0.0444444444444444,0.0175886524822695,0.0
IND000000AEL,0.0,1,1,1.5549450549450547,0.0,0.0222222222222222,0.0212765957446808,0.0444270015698587,0.0175851639073523,0.0
IND000000ABD,0.0004062560454768,1,1,1.4285714285714286,0.0017713010303392,0.0222222222222222,0.0212765957446808,0.0408163265306122,0.0175715493116387,0.0
IND524201AAA,0.000812140061608,1,1,1.3033088235294117,0.0035409799901378,0.0222222222222222,0.0212765957446808,0.0372373949579831,0.0175636345810323,1.0
IND626123AAA,2.790220092560901e-05,1,1,1.5405405405405406,0.0001216552905452,0.0222222222222222,0.0212765957446808,0.044015444015444,0.0175515145126875,0.0
IND403507AAB,0.0,1,1,1.5454545454545454,0.0,0.0222222222222222,0.0212765957446808,0.0441558441558441,0.0175309324245494,0.0
IND000000ADM,0.0,1,1,1.5454545454545454,0.0,0.0222222222222222,0.0212765957446808,0.0441558441558441,0.0175309324245494,0.0
IND176061AAA,0.0004070001041682,1,1,1.4194444444444445,0.0017745451714204,0.0222222222222222,0.0212765957446808,0.0405555555555555,0.0175206927730598,0.0
IND396001AAA,6.324498876471376e-06,1,1,1.5384615384615383,2.7575199190262388e-05,0.0222222222222222,0.0212765957446808,0.0439560439560439,0.0175020024642655,0.0
IND000000ACK,0.0,0,1,2.3166666666666664,0.0,0.0,0.0212765957446808,0.0661904761904761,0.0174934143870314,0.0
IND246444AAB,0.0004114644563163,1,1,1.4090909090909092,0.0017940100179076,0.0222222222222222,0.0212765957446808,0.0402597402597402,0.0174693156524917,1.0
IND532440AAA,0.0,1,1,1.5301003344481603,0.0,0.0222222222222222,0.0212765957446808,0.0437171524128045,0.0174431940759415,1.0
IND524003AAA,0.0,1,1,1.5294117647058822,0.0,0.0222222222222222,0.0212765957446808,0.0436974789915966,0.0174392593916999,1.0
